OID_;OBJECTID;IDESTACION;FECHAACTUA;MODO;CODIGOESTA;DENOMINACI;SITUACION;CODIGOCTME;CODIGOEMPR;DENOMINA_1;MODOINTERC;CODIGOINTE;TIPO;CODIGOPROV;CODIGOMUNI;CODIGOENTI;CODIGONUCL;CODIGOVIA;TIPOVIA;PARTICULA;NOMBREVIA;TIPONUMERO;NUMEROPORT;CALIFICADO;CARRETERA;CODIGOPOST;DISTRITO;SECCIONCEN;BARRIO;TESELA;SECTORURBA;SECTOR;CORREDOR;CORONATARI;CORONA123;ZONATRANSP;ENCUESTADO;ENCUESTAAF;HOJA25000;ACONDICION;ACONDICI_1;FECHAALTA;FECHAINICI;FECHAFIN;X;Y;GRADOACCES;SITUACIONC;DENOMINA_2;INTERURBAN;INTERURB_1;LINEAS;POINT_Y;POINT_X
38;39;4_157;20240628;4;157;MAR DE CRISTAL;I;71;804; ;92;79;U;28;79;7901;790101;99999;Gta;de;Mar de Cristal;N;1; ; ;28033;16;50;164;T0792832;0790101173;4;1;A;2;079-16-452;452; ;559-2;2;3;19990405;19980101; ;445997;4480260;T; ; ; ; ;4, 8;40,46938379;-3,63832022
39;40;4_54;20240628;4;54;ARGÜELLES;I;52;401; ;93;68;U;28;79;7901;790101;00120;Calle;de;Alberto Aguilera;N;72; ; ;28015;7;1;71;T0797329;0790101303;;5;A;1;079-07-136;136; ;559-1;2;3;19990405;19930701; ;439381;4476005;T; ; ; ; ;3, 4, 6;40,43059836;-3,71595687
40;41;4_296;20240628;4;296;HOSPITAL DEL HENARES;I;296;760; ;92;232;U;28;49;4901;490199;99999;Cmno;del;Tiro;N;SN; ; ;28822;2;16;21;T049357;0490199001;;3;B1;2;049-012;905; ;solape;2;3;20080215;20080101; ;454761;4474454;T; ; ; ; ;7;40,41761002;-3,53453497
41;42;4_126;20240628;4;126;ARGÜELLES;I;52;624; ;93;68;U;28;79;7901;790101;99999;Calle;de;Alberto Aguilera;N;72; ; ;28015;1;107;15;T0797504;0790101319;;5;A;1;079-01-001;1; ;559-1;2;3;19990405;19930701; ;439381;4475997;T; ; ; ; ;3, 4, 6;40,43053184;-3,71595617
42;43;4_49;20240628;4;49;CALLAO;I;49;307; ;91;62;U;28;79;7901;790101;00987;Plaza;del;Callao;N;3; ; ;28013;1;117;16;T0798880;0790101328;1;5;A;1;079-01-013;13; ;559-1;2;3;19990405;19930701; ;440245;4474836;T; ; ; ; ;3, 5;40,4201365;-3,70566124
43;44;4_88;20240628;4;88;CALLAO;I;49;515; ;91;62;U;28;79;7901;790101;00987;Plaza;del;Callao;N;3; ; ;28013;1;117;16;T0798880;0790101328;1;5;A;1;079-01-013;13; ;559-1;2;3;19990405;19930701; ;440245;4474831;T; ; ; ; ;3, 5;40,42008326;-3,70566478
44;45;4_39;20240628;4;39;SAN BERNARDO;I;39;212; ;93;325;U;28;79;7901;790101;05386;Calle;de;San Bernardo;N;94; ; ;28015;7;50;73;T0797575;0790101297;;6;A;1;079-07-138;138; ;559-1;2;3;19990405;19930701; ;440261;4475933;N; ; ; ; ;2, 4;40,43001276;-3,70556993
45;46;4_4;20240628;4;4;ESTRECHO;I;4;104; ;93;72;U;28;79;7901;790101;00886;Calle;de;Bravo Murillo;N;191; ; ;28020;6;119;66;T0794589;0790101259;;6;A;1;079-06-111;111; ;559-1;2;3;19990405;19930701; ;440499;4478625;N; ; ; ; ;1;40,45428803;-3,70302296
46;47;4_217;20240628;4;217;MANUELA MALASAÑA;I;217;1209; ;93;266;U;28;92;9201;920101;99999;Plaza; ;Sol de 9001;SN;SN; ; ;28938;4;1;;T092403;0920101001;;5;B2;3;092-030;808; ; ;2;3;20030120;20030101; ;426690;4462623;T; ; ; ; ;12;40,30903006;-3,8640212
47;48;4_89;20240628;4;89;OPERA;I;36;516; ;92;31;U;28;79;7901;790101;02909;Plaza;de;Isabel II;N;9; ; ;28013;1;4;11;T0799022;0790101330;;5;A;1;079-01-012;12; ;559-1;2;3;19990405;19930701; ;439930;4474612;T; ; ; ; ;2, 5, R;40,41809334;-3,7093496
48;49;4_237;20240628;4;237;OPERA;I;36;1; ;92;31;U;28;79;7901;790101;02909;Plaza;de;Isabel II;N;9; ; ;28013;1;4;11;T0799022;0790101330;1;5;A;1;079-01-012;12; ;559-1;2;3;19990405;19930701; ;439936;4474612;T; ; ; ; ;2, 5, R;40,41809377;-3,7092806
49;50;4_108;20240628;4;108;PLAZA ELIPTICA;I;108;605; ;90;36;U;28;79;7901;790101;02184;Plaza;de;Fernández Ladreda;N;2; ; ;28025;11;183;117;T07913162;0790101659;3;4;A;2;079-11-297;297; ;559-3;2;3;19990405;19930701; ;439135;4470901;T; ; ; ; ;6, 11;40,38460006;-3,71837056
50;51;4_159;20240628;4;159;AEROPUERTO T1-T2-T3;I;159;806; ;90;34;U;28;79;7901;790101;10444;Avda;de la;Hispanidad;N;SN; ; ;28042;21;15;212;T079841;0790101240;4;2;A;2;079-21-585;585; ;559-2;2;3;20020215;19980101; ;451828;4480138;T; ; ; ; ;8;40,46864424;-3,56953826
51;52;4_206;20240628;4;206;PLAZA ELIPTICA;I;108;1101; ;90;36;U;28;79;7901;790101;02184;Plaza;de;Fernández Ladreda;N;2; ; ;28025;11;183;117;T07913162;0790101659;3;4;A;2;079-11-297;297; ;559-3;2;3;19990405;19930701; ;439145;4470901;T; ; ; ; ;6, 11;40,38460079;-3,71825209
52;53;4_64;20240628;4;64;AVENIDA DE AMERICA;I;64;411; ;90;4;U;28;79;7901;790101;00312;Avda;de;América;N;9;A; ;28002;5;31;52;T0796594;0790101362;1;1;A;1;079-05-103;103; ;559-2;2;3;19990405;19930701; ;442722;4476803;N; ; ; ; ;4, 6, 7, 9;40,43803258;-3,67663956
53;54;4_118;20240628;4;118;AVENIDA DE AMERICA;I;64;616; ;90;4;U;28;79;7901;790101;00312;Avda;de;América;N;9;A; ;28002;5;31;52;T0796594;0790101362;1;1;A;1;079-05-103;103; ;559-2;2;3;19990405;19930701; ;442727;4476804;N; ; ; ; ;4, 6, 7, 9;40,43803529;-3,67658343
54;55;4_141;20240628;4;141;AVENIDA DE AMERICA;I;64;710; ;90;4;U;28;79;7901;790101;00312;Avda;de;América;N;9;A; ;28002;5;31;52;T0796594;0790101362;1;1;A;1;079-05-103;103; ;559-2;2;3;19990405;19930701; ;442732;4476804;N; ; ; ; ;4, 6, 7, 9;40,43803562;-3,67652728
55;56;4_170;20240628;4;170;AVENIDA DE AMERICA;I;64;910; ;90;4;U;28;79;7901;790101;00312;Avda;de;América;N;9;A; ;28002;5;31;52;T0796594;0790101362;1;1;A;1;079-05-103;103; ;559-2;2;3;19990405;19930701; ;442737;4476804;N; ; ; ; ;4, 6, 7, 9;40,43803833;-3,67647115
56;57;4_29;20240628;4;29;MANUEL BECERRA;I;29;202; ;91;41;U;28;79;7901;790101;05244;Plaza;de;Manuel Becerra;N;1; ; ;28028;4;34;42;T0797933;0790101387;1;1;A;1;079-04-076;76; ;559-2;2;3;19990405;19930701; ;443340;4475675;N; ; ; ; ;2, 6;40,42790417;-3,6692582
57;58;4_6;20240628;4;6;CUATRO CAMINOS;I;6;106; ;91;40;U;28;79;7901;790101;01600;Gta;de;Cuatro Caminos;N;2; ; ;28020;6;23;61;T0795640;0790101270;1;6;A;1;079-06-117;117; ;559-1;2;3;19990405;19930701; ;440412;4477814;T; ; ; ; ;1, 2, 6;40,44697395;-3,70397477
58;59;4_42;20240628;4;42;CUATRO CAMINOS;I;6;215; ;91;40;U;28;79;7901;790101;01600;Gta;de;Cuatro Caminos;N;10; ; ;28020;6;24;62;T0795641;0790101269;1;6;A;1;079-06-118;118; ;559-1;2;3;19990405;19930701; ;440416;4477814;T; ; ; ; ;1, 2, 6;40,44697428;-3,70392174
59;60;4_121;20240628;4;121;CUATRO CAMINOS;I;6;619; ;91;40;U;28;79;7901;790101;01600;Gta;de;Cuatro Caminos;N;9; ; ;28020;6;24;62;T0795641;0790101269;1;6;A;1;079-06-118;118; ;559-1;2;3;19990405;19930701; ;440421;4477814;T; ; ; ; ;1, 2, 6;40,4469746;-3,7038687
60;61;4_116;20240628;4;116;MANUEL BECERRA;I;29;614; ;91;41;U;28;79;7901;790101;05244;Plaza;de;Manuel Becerra;N;1; ; ;28028;4;34;42;T0797933;0790101387;1;1;A;1;079-04-076;76; ;559-2;2;3;19990405;19930701; ;443344;4475675;N; ; ; ; ;2, 6;40,42790448;-3,66920518
61;62;4_202;20240628;4;202;COLONIA JARDIN;I;202;1016; ;91;43;U;28;79;7901;790101;10799;Calle;de;Arenas de San Pedro;N;2; ; ;28024;10;152;105;T07911169;0790101515;3;5;A;2;079-10-249;249; ;559-3;2;3;19990405;20021022; ;434373;4472315;T; ; ; ; ;10;40,39697543;-3,77461626
62;63;4_264;20240628;4;264;HORTALEZA;S;264;421; ;93;228;U;28;79;7901;790101;01063;Calle;del;Capitán Cortés;BLQ;4; ; ;28033;16;71;164;T0791891;0790101166;;1;A;2;079-16-445;445; ;559-2;2;3;20070410;20070101; ;444794;4480933;T; ; ; ; ;4;40,47537172;-3,65257261
63;64;4_184;20240628;4;184;RIVAS VACIAMADRID;S;184;926; ;93;319;U;28;123;12307;1230701;01508;Calle; ;Areneros;N;6; ; ;28529;1;1;;T1231;1230701001;;3;B2;3;123-006;918; ; ;2;3;19990702;19990407; ;455885;4464542;T; ; ; ; ;9;40,32837092;-3,52059752
64;65;4_5;20240628;4;5;ALVARADO;I;5;105; ;93;136;U;28;79;7901;790101;00886;Calle;de;Bravo Murillo;N;138; ; ;28020;6;35;62;T0795172;0790101269;;6;A;1;079-06-118;118; ;559-1;2;3;19990405;19930701; ;440471;4478187;N; ; ; ; ;1;40,45033198;-3,70331421
65;66;4_50;20240628;4;50;PLAZA DE ESPAÑA;I;50;308; ;92;64;U;28;79;7901;790101;02024;Plaza;de;España;N;1; ; ;28008;9;14;92;T0798462;0790101317;;6;A;2;079-09-231;231; ;559-1;2;3;19990405;19930701; ;439778;4475204;T; ; ; ; ;2, 3, 10;40,42341603;-3,71119704
66;67;4_51;20240628;4;51;VENTURA RODRIGUEZ;I;51;309; ;93;369;U;28;79;7901;790101;04939;Calle;de la;Princesa;N;22; ; ;28008;1;108;15;T0798003;0790101319;;5;A;1;079-01-006;6; ;559-1;2;3;19990405;19930701; ;439594;4475613;T; ; ; ; ;3;40,42708737;-3,7134131
67;68;4_276;20240628;4;276;LAS TABLAS;I;276;1053; ;92;95;U;28;79;7901;790101;45764;Calle;de;Palas de Rey;N;30; ; ;28050;8;167;86;T079385;0790101986;2;7;A;1;079-08-152;152; ;534-4;2;3;20070424;20070101; ;443392;4484602;T; ; ; ; ;10;40,50833012;-3,66944258
68;69;4_274;20240628;4;274;TRES OLIVOS;S;274;1051; ;93;354;U;28;79;7901;790101;C1000;Acces; ;M-607;SN;SN; ; ;28034;8;153;86;T079582;0790101930;;7;A;2;079-08-148;148; ;solape;2;3;20070424;20070101; ;441203;4483828;T; ; ; ; ;10;40,50120463;-3,69520245
69;70;4_280;20240628;4;280;MARQUES DE LA VALDAVIA;I;280;1057; ;93;268;U;28;6;601;60101;A0199;Calle;del;Marqués de la Valdavia;BLQ;21; ; ;28100;1;18;;T006269;0060101005;;1;B1;3;006-009;594; ;534-4;2;3;20070424;20070101; ;446134;4488211;T; ; ; ; ;10;40,54102356;-3,63738494
70;71;4_282;20240628;4;282;BAUNATAL;I;282;1059; ;93;159;U;28;134;13405;1340501;00893;Avda;de las;Lomas del Rey;N;2; ; ;28701;1;34;;T1344663; ;6;1;B1;2;134-010;627; ;534-4;2;3;20070424;20070101; ;446336;4489697;T; ; ; ; ;10;40,55442304;-3,6351257
